task,seed,status,reason
green_cube_in_sink,100000,failure,
green_cube_in_sink,100001,failure,
green_cube_in_sink,100002,failure,
green_cube_in_sink,100003,failure,
green_cube_in_sink,100004,failure,
green_cube_in_sink,100005,failure,
green_cube_in_sink,100006,failure,
green_cube_in_sink,100007,failure,
green_cube_in_sink,100008,failure,
green_cube_in_sink,100009,failure,
carrot_in_sink,100010,failure,
carrot_in_sink,100011,skipped_layout,"Unstable randomized layout: source_drift=0.7358, target_drift=0.0139, source_speed=3.0560, source_angular_speed=97.7899"
carrot_in_sink,100012,failure,
carrot_in_sink,100013,failure,
carrot_in_sink,100014,skipped_layout,"Unstable randomized layout: source_drift=0.4181, target_drift=0.0139, source_speed=2.4104, source_angular_speed=18.2512"
carrot_in_sink,100015,skipped_layout,"Unstable randomized layout: source_drift=0.0685, target_drift=0.0139, source_speed=0.0003, source_angular_speed=0.0086"
carrot_in_sink,100016,failure,
carrot_in_sink,100017,failure,
carrot_in_sink,100018,skipped_layout,"Unstable randomized layout: source_drift=0.0084, target_drift=0.0139, source_speed=0.0002, source_angular_speed=0.0221"
carrot_in_sink,100019,failure,
yellow_cube_on_green_cube,100020,failure,
yellow_cube_on_green_cube,100021,success,
yellow_cube_on_green_cube,100022,failure,
yellow_cube_on_green_cube,100023,success,
yellow_cube_on_green_cube,100024,success,
yellow_cube_on_green_cube,100025,failure,
yellow_cube_on_green_cube,100026,success,
yellow_cube_on_green_cube,100027,failure,
yellow_cube_on_green_cube,100028,success,
yellow_cube_on_green_cube,100029,success,
put_spoon_on_plate,100030,success,
put_spoon_on_plate,100031,failure,
put_spoon_on_plate,100032,success,
put_spoon_on_plate,100033,success,
put_spoon_on_plate,100034,success,
put_spoon_on_plate,100035,failure,
put_spoon_on_plate,100036,success,
put_spoon_on_plate,100037,failure,
put_spoon_on_plate,100038,success,
put_spoon_on_plate,100039,success,
