task,seed,outcome
green_cube_in_sink,100000,success=False
green_cube_in_sink,100001,success=False
green_cube_in_sink,100002,success=False
green_cube_in_sink,100003,success=False
green_cube_in_sink,100004,success=False
green_cube_in_sink,100005,success=False
green_cube_in_sink,100006,success=False
green_cube_in_sink,100007,success=False
green_cube_in_sink,100008,success=False
green_cube_in_sink,100009,success=False
green_cube_in_sink,100010,success=False
green_cube_in_sink,100011,success=False
green_cube_in_sink,100012,success=False
green_cube_in_sink,100013,success=False
green_cube_in_sink,100014,success=False
green_cube_in_sink,100015,success=False
green_cube_in_sink,100016,success=False
green_cube_in_sink,100017,success=False
green_cube_in_sink,100018,success=False
green_cube_in_sink,100019,success=False
green_cube_in_sink,100020,success=False
green_cube_in_sink,100021,success=False
green_cube_in_sink,100022,success=False
green_cube_in_sink,100023,success=False
green_cube_in_sink,100024,success=False
green_cube_in_sink,100025,success=False
green_cube_in_sink,100026,success=False
green_cube_in_sink,100027,success=False
green_cube_in_sink,100028,success=False
green_cube_in_sink,100029,success=False
green_cube_in_sink,100030,success=False
green_cube_in_sink,100031,success=False
green_cube_in_sink,100032,success=False
green_cube_in_sink,100033,success=False
green_cube_in_sink,100034,success=False
green_cube_in_sink,100035,success=False
green_cube_in_sink,100036,success=False
green_cube_in_sink,100037,success=False
green_cube_in_sink,100038,success=False
green_cube_in_sink,100039,success=False
green_cube_in_sink,100040,success=False
green_cube_in_sink,100041,success=False
green_cube_in_sink,100042,success=False
green_cube_in_sink,100043,success=False
green_cube_in_sink,100044,success=False
green_cube_in_sink,100045,success=False
green_cube_in_sink,100046,success=False
green_cube_in_sink,100047,success=False
green_cube_in_sink,100048,success=False
green_cube_in_sink,100049,success=False
carrot_in_sink,100050,skipped_layout=
carrot_in_sink,100051,success=False
carrot_in_sink,100052,skipped_layout=
carrot_in_sink,100053,skipped_layout=
carrot_in_sink,100054,skipped_layout=
carrot_in_sink,100055,success=False
carrot_in_sink,100056,skipped_layout=
carrot_in_sink,100057,skipped_layout=
carrot_in_sink,100058,skipped_layout=
carrot_in_sink,100059,skipped_layout=
carrot_in_sink,100060,success=False
carrot_in_sink,100061,success=False
carrot_in_sink,100062,skipped_layout=
carrot_in_sink,100063,success=False
carrot_in_sink,100064,skipped_layout=
carrot_in_sink,100065,success=False
carrot_in_sink,100066,skipped_layout=
carrot_in_sink,100067,success=False
carrot_in_sink,100068,success=False
carrot_in_sink,100069,skipped_layout=
carrot_in_sink,100070,success=False
carrot_in_sink,100071,skipped_layout=
carrot_in_sink,100072,skipped_layout=
carrot_in_sink,100073,success=False
carrot_in_sink,100074,skipped_layout=
carrot_in_sink,100075,success=False
carrot_in_sink,100076,success=False
carrot_in_sink,100077,skipped_layout=
carrot_in_sink,100078,success=False
carrot_in_sink,100079,success=False
carrot_in_sink,100080,success=False
carrot_in_sink,100081,success=False
carrot_in_sink,100082,success=False
carrot_in_sink,100083,skipped_layout=
carrot_in_sink,100084,skipped_layout=
carrot_in_sink,100085,skipped_layout=
carrot_in_sink,100086,skipped_layout=
carrot_in_sink,100087,success=False
carrot_in_sink,100088,success=False
carrot_in_sink,100089,skipped_layout=
carrot_in_sink,100090,success=False
carrot_in_sink,100091,success=False
carrot_in_sink,100092,success=False
carrot_in_sink,100093,success=False
carrot_in_sink,100094,skipped_layout=
carrot_in_sink,100095,success=False
carrot_in_sink,100096,skipped_layout=
carrot_in_sink,100097,success=False
carrot_in_sink,100098,success=False
carrot_in_sink,100099,success=False
yellow_cube_on_green_cube,100100,success=True
yellow_cube_on_green_cube,100101,success=True
yellow_cube_on_green_cube,100102,success=False
yellow_cube_on_green_cube,100103,success=False
yellow_cube_on_green_cube,100104,success=False
yellow_cube_on_green_cube,100105,success=True
yellow_cube_on_green_cube,100106,success=False
yellow_cube_on_green_cube,100107,success=False
yellow_cube_on_green_cube,100108,success=False
yellow_cube_on_green_cube,100109,success=False
yellow_cube_on_green_cube,100110,success=False
yellow_cube_on_green_cube,100111,success=False
yellow_cube_on_green_cube,100112,success=False
yellow_cube_on_green_cube,100113,success=True
yellow_cube_on_green_cube,100114,success=False
yellow_cube_on_green_cube,100115,success=False
yellow_cube_on_green_cube,100116,success=False
yellow_cube_on_green_cube,100117,success=True
yellow_cube_on_green_cube,100118,success=True
